SFV_Am_put FV_Eur_put FV_Am_call FV_Eur_call 
11 89 84.2324 1.5665e-05 1.5665e-05 
11.1 88.9 84.1334 1.70173e-05 1.70173e-05 
11.2 88.8 84.0344 1.96382e-05 1.96382e-05 
11.3 88.7 83.9354 2.22591e-05 2.22591e-05 
11.4 88.6 83.8364 2.48799e-05 2.48799e-05 
11.5 88.5 83.7374 2.75008e-05 2.75008e-05 
11.6 88.4 83.6384 3.01217e-05 3.01217e-05 
11.7 88.3 83.5394 3.27426e-05 3.27426e-05 
11.8 88.2 83.4404 3.53634e-05 3.53634e-05 
11.9 88.1 83.3414 3.79843e-05 3.79843e-05 
12 88 83.2424 4.06052e-05 4.06052e-05 
12.1 87.9 83.1434 4.3226e-05 4.3226e-05 
12.2 87.8 83.0444 4.58469e-05 4.58469e-05 
12.3 87.7 82.9454 5.04632e-05 5.04632e-05 
12.4 87.6 82.8464 5.6755e-05 5.6755e-05 
12.5 87.5 82.7474 6.30468e-05 6.30468e-05 
12.6 87.4 82.6484 6.93387e-05 6.93387e-05 
12.7 87.3 82.5494 7.56305e-05 7.56305e-05 
12.8 87.2 82.4504 8.19223e-05 8.19223e-05 
12.9 87.1 82.3514 8.82141e-05 8.82141e-05 
13 87 82.2524 9.45059e-05 9.45059e-05 
13.1 86.9 82.1534 0.000100798 0.000100798 
13.2 86.8 82.0544 0.00010709 0.00010709 
13.3 86.7 81.9554 0.000113381 0.000113381 
13.4 86.6 81.8564 0.000119673 0.000119673 
13.5 86.5 81.7574 0.000125965 0.000125965 
13.6 86.4 81.6584 0.000137663 0.000137663 
13.7 86.3 81.5594 0.000152088 0.000152088 
13.8 86.2 81.4604 0.000166513 0.000166513 
13.9 86.1 81.3614 0.000180938 0.000180938 
14 86 81.2624 0.000195362 0.000195362 
14.1 85.9 81.1634 0.000209787 0.000209787 
14.2 85.8 81.0645 0.000224212 0.000224212 
14.3 85.7 80.9655 0.000238637 0.000238637 
14.4 85.6 80.8665 0.000253062 0.000253062 
14.5 85.5 80.7675 0.000267486 0.000267486 
14.6 85.4 80.6685 0.000281911 0.000281911 
14.7 85.3 80.5695 0.000296336 0.000296336 
14.8 85.2 80.4705 0.000310761 0.000310761 
14.9 85.1 80.3715 0.000325186 0.000325186 
