SFV_Am_put FV_Eur_put FV_Am_call FV_Eur_call 
53.3 46.9152 44.3867 2.03345 2.03345 
53.4 46.8232 44.3042 2.04988 2.04987 
53.5 46.7312 44.2216 2.0663 2.0663 
53.6 46.6393 44.139 2.08272 2.08272 
53.7 46.5475 44.0564 2.09915 2.09915 
53.8 46.4557 43.9738 2.11557 2.11557 
53.9 46.3639 43.8913 2.132 2.132 
54 46.2722 43.8087 2.14842 2.14842 
54.1 46.1805 43.7261 2.16485 2.16485 
54.2 46.0889 43.6435 2.18127 2.18127 
54.3 45.9972 43.5609 2.1977 2.1977 
54.4 45.9056 43.4784 2.21412 2.21412 
54.5 45.8141 43.3958 2.23055 2.23055 
54.6 45.7227 43.3132 2.24697 2.24697 
54.7 45.6316 43.2306 2.2634 2.26339 
54.8 45.5407 43.148 2.27982 2.27982 
54.9 45.4501 43.0665 2.29727 2.29727 
55 45.3609 42.9893 2.31912 2.31912 
55.1 45.2721 42.9122 2.34097 2.34097 
55.2 45.1837 42.835 2.36282 2.36282 
55.3 45.0955 42.7579 2.38467 2.38467 
55.4 45.0075 42.6807 2.40652 2.40652 
55.5 44.9197 42.6036 2.42837 2.42837 
55.6 44.8319 42.5264 2.45023 2.45023 
55.7 44.7444 42.4492 2.47208 2.47208 
55.8 44.657 42.3721 2.49393 2.49393 
55.9 44.5697 42.2949 2.51578 2.51578 
56 44.4825 42.2178 2.53763 2.53763 
56.1 44.3954 42.1406 2.55948 2.55948 
56.2 44.3084 42.0635 2.58133 2.58133 
56.3 44.2215 41.9863 2.60319 2.60319 
56.4 44.1346 41.9092 2.62504 2.62504 
56.5 44.0479 41.832 2.64689 2.64689 
56.6 43.9612 41.7549 2.66874 2.66874 
56.7 43.8747 41.6777 2.69059 2.69059 
56.8 43.7882 41.6006 2.71244 2.71244 
56.9 43.7018 41.5234 2.73429 2.73429 
57 43.6154 41.4462 2.75614 2.75614 
57.1 43.5291 41.3691 2.778 2.778 
57.2 43.4428 41.2919 2.79985 2.79985 
57.3 43.3566 41.2148 2.8217 2.8217 
57.4 43.2705 41.1376 2.84355 2.84355 
57.5 43.1846 41.0605 2.8654 2.8654 
57.6 43.0988 40.9833 2.88725 2.88725 
57.7 43.0131 40.9062 2.9091 2.9091 
57.8 42.9277 40.829 2.93096 2.93096 
57.9 42.8423 40.7519 2.95281 2.95281 
58 42.7571 40.6747 2.97466 2.97466 
58.1 42.6721 40.5976 2.99651 2.99651 
58.2 42.587 40.5204 3.01836 3.01836 
58.3 42.5023 40.4432 3.04021 3.04021 
58.4 42.4175 40.3661 3.06206 3.06206 
58.5 42.3328 40.2889 3.08391 3.08391 
58.6 42.2483 40.2118 3.10577 3.10577 
58.7 42.1639 40.1346 3.12762 3.12762 
58.8 42.0794 40.0575 3.14947 3.14947 
58.9 41.9951 39.9803 3.17132 3.17132 
59 41.9109 39.9032 3.19317 3.19317 
59.1 41.8267 39.826 3.21502 3.21502 
59.2 41.7427 39.7489 3.23687 3.23687 
59.3 41.6587 39.6717 3.25873 3.25873 
59.4 41.5747 39.5946 3.28058 3.28058 
59.5 41.4908 39.5174 3.30243 3.30243 
59.6 41.407 39.4403 3.32428 3.32428 
59.7 41.3232 39.3631 3.34613 3.34613 
59.8 41.2394 39.2859 3.36798 3.36798 
59.9 41.1558 39.2088 3.38983 3.38983 
60 41.0721 39.1316 3.41168 3.41168 
60.1 40.9885 39.0545 3.43354 3.43354 
60.2 40.905 38.9773 3.45539 3.45539 
60.3 40.8215 38.9002 3.47724 3.47724 
60.4 40.738 38.823 3.49909 3.49909 
60.5 40.6545 38.7459 3.52094 3.52094 
60.6 40.5711 38.6687 3.54279 3.54279 
60.7 40.4887 38.5945 3.56761 3.56761 
60.8 40.4079 38.5237 3.59578 3.59578 
60.9 40.3277 38.4529 3.62396 3.62396 
61 40.2477 38.382 3.65213 3.65213 
61.1 40.168 38.3112 3.6803 3.6803 
61.2 40.0885 38.2404 3.70848 3.70848 
61.3 40.0091 38.1695 3.73665 3.73665 
61.4 39.9297 38.0987 3.76482 3.76482 
61.5 39.8506 38.0279 3.793 3.793 
61.6 39.7717 37.957 3.82117 3.82117 
61.7 39.6928 37.8862 3.84934 3.84934 
61.8 39.6141 37.8154 3.87752 3.87752 
61.9 39.5355 37.7445 3.90569 3.90569 
62 39.4569 37.6737 3.93386 3.93386 
62.1 39.3784 37.6029 3.96204 3.96204 
62.2 39.3001 37.5321 3.99021 3.99021 
62.3 39.2218 37.4612 4.01838 4.01838 
62.4 39.1437 37.3904 4.04656 4.04656 
62.5 39.0656 37.3196 4.07473 4.07473 
62.6 38.9876 37.2487 4.1029 4.1029 
62.7 38.9098 37.1779 4.13108 4.13108 
62.8 38.832 37.1071 4.15925 4.15925 
62.9 38.7542 37.0362 4.18742 4.18742 
63 38.6766 36.9654 4.2156 4.2156 
63.1 38.599 36.8946 4.24377 4.24377 
63.2 38.5214 36.8237 4.27194 4.27194 
63.3 38.444 36.7529 4.30012 4.30012 
63.4 38.3666 36.6821 4.32829 4.32829 
63.5 38.2892 36.6112 4.35646 4.35646 
63.6 38.2119 36.5404 4.38464 4.38464 
63.7 38.1346 36.4696 4.41281 4.41281 
63.8 38.0574 36.3987 4.44098 4.44098 
63.9 37.9803 36.3279 4.46916 4.46916 
64 37.9033 36.2571 4.49733 4.49733 
64.1 37.8264 36.1862 4.5255 4.5255 
64.2 37.7495 36.1154 4.55368 4.55367 
64.3 37.6727 36.0446 4.58185 4.58185 
64.4 37.5961 35.9738 4.61002 4.61002 
64.5 37.5195 35.9029 4.63819 4.63819 
64.6 37.443 35.8321 4.66637 4.66637 
64.7 37.3665 35.7613 4.69454 4.69454 
64.8 37.2901 35.6904 4.72271 4.72271 
64.9 37.2138 35.6196 4.75089 4.75089 
65 37.1375 35.5488 4.77906 4.77906 
65.1 37.0613 35.4779 4.80723 4.80723 
65.2 36.9852 35.4071 4.83541 4.83541 
65.3 36.9091 35.3363 4.86358 4.86358 
65.4 36.8331 35.2654 4.89175 4.89175 
65.5 36.7572 35.1946 4.91993 4.91993 
65.6 36.6813 35.1238 4.9481 4.9481 
65.7 36.6054 35.0529 4.97627 4.97627 
65.8 36.5297 34.9821 5.00445 5.00445 
65.9 36.454 34.9113 5.03262 5.03262 
66 36.3782 34.8404 5.06079 5.06079 
66.1 36.3026 34.7696 5.08897 5.08897 
66.2 36.227 34.6988 5.11714 5.11714 
66.3 36.1515 34.628 5.14531 5.14531 
66.4 36.076 34.5571 5.17349 5.17349 
66.5 36.0005 34.4863 5.20166 5.20166 
66.6 35.9251 34.4155 5.22983 5.22983 
66.7 35.8497 34.3446 5.25801 5.25801 
66.8 35.7743 34.2738 5.28618 5.28618 
66.9 35.699 34.203 5.31435 5.31435 
67 35.6237 34.1321 5.34253 5.34253 
67.1 35.5502 34.0661 5.37551 5.37551 
67.2 35.4784 34.0024 5.41076 5.41076 
67.3 35.4074 33.9386 5.44601 5.44601 
67.4 35.3364 33.8748 5.48126 5.48126 
67.5 35.2657 33.8111 5.51651 5.51651 
67.6 35.1951 33.7473 5.55176 5.55176 
67.7 35.1247 33.6836 5.58701 5.58701 
67.8 35.0543 33.6198 5.62226 5.62225 
67.9 34.984 33.5561 5.6575 5.6575 
68 34.9139 33.4923 5.69275 5.69275 
68.1 34.8439 33.4286 5.728 5.728 
68.2 34.774 33.3648 5.76325 5.76325 
68.3 34.7042 33.301 5.7985 5.7985 
68.4 34.6345 33.2373 5.83375 5.83375 
68.5 34.5648 33.1735 5.869 5.869 
68.6 34.4952 33.1098 5.90425 5.90425 
68.7 34.4256 33.046 5.9395 5.9395 
68.8 34.3562 32.9823 5.97475 5.97475 
68.9 34.2868 32.9185 6.01 6.01 
69 34.2176 32.8547 6.04525 6.04525 
69.1 34.1483 32.791 6.0805 6.0805 
69.2 34.0792 32.7272 6.11574 6.11574 
69.3 34.0102 32.6635 6.15099 6.15099 
69.4 33.9413 32.5997 6.18624 6.18624 
69.5 33.8724 32.536 6.22149 6.22149 
69.6 33.8035 32.4722 6.25674 6.25674 
69.7 33.7347 32.4085 6.29199 6.29199 
69.8 33.666 32.3447 6.32724 6.32724 
69.9 33.5973 32.2809 6.36249 6.36249 
70 33.5287 32.2172 6.39774 6.39774 
70.1 33.4602 32.1534 6.43299 6.43299 
70.2 33.3916 32.0897 6.46824 6.46824 
70.3 33.3231 32.0259 6.50349 6.50349 
70.4 33.2546 31.9622 6.53874 6.53874 
70.5 33.1862 31.8984 6.57399 6.57398 
70.6 33.1179 31.8347 6.60923 6.60923 
70.7 33.0496 31.7709 6.64448 6.64448 
70.8 32.9814 31.7071 6.67973 6.67973 
70.9 32.9132 31.6434 6.71498 6.71498 
71 32.845 31.5796 6.75023 6.75023 
71.1 32.7769 31.5159 6.78548 6.78548 
71.2 32.709 31.4521 6.82073 6.82073 
71.3 32.641 31.3884 6.85598 6.85598 
71.4 32.573 31.3246 6.89123 6.89123 
71.5 32.5051 31.2609 6.92648 6.92648 
71.6 32.4373 31.1971 6.96173 6.96173 
71.7 32.3695 31.1333 6.99698 6.99698 
71.8 32.3018 31.0696 7.03223 7.03222 
71.9 32.234 31.0058 7.06747 7.06747 
72 32.1663 30.9421 7.10272 7.10272 
72.1 32.0987 30.8783 7.13797 7.13797 
72.2 32.0312 30.8146 7.17322 7.17322 
72.3 31.9637 30.7508 7.20847 7.20847 
72.4 31.8962 30.6871 7.24372 7.24372 
72.5 31.8288 30.6233 7.27897 7.27897 
72.6 31.7614 30.5595 7.31422 7.31422 
72.7 31.694 30.4958 7.34947 7.34947 
72.8 31.6267 30.432 7.38472 7.38472 
72.9 31.5594 30.3683 7.41997 7.41997 
73 31.4921 30.3045 7.45522 7.45522 
73.1 31.4249 30.2408 7.49047 7.49046 
73.2 31.3577 30.177 7.52572 7.52571 
73.3 31.2906 30.1133 7.56096 7.56096 
73.4 31.2234 30.0495 7.59621 7.59621 
73.5 31.1564 29.9857 7.63146 7.63146 
73.6 31.0893 29.922 7.66671 7.66671 
73.7 31.0223 29.8582 7.70196 7.70196 
73.8 30.9553 29.7945 7.73721 7.73721 
73.9 30.8882 29.7307 7.77246 7.77246 
74 30.8213 29.667 7.80771 7.80771 
74.1 30.7549 29.6046 7.84434 7.84434 
74.2 30.6916 29.5484 7.8872 7.8872 
74.3 30.6292 29.4923 7.93006 7.93006 
74.4 30.5674 29.4362 7.97292 7.97292 
74.5 30.5057 29.38 8.01578 8.01578 
74.6 30.4442 29.3239 8.05864 8.05864 
74.7 30.3829 29.2677 8.1015 8.1015 
74.8 30.3217 29.2116 8.14436 8.14436 
74.9 30.2606 29.1554 8.18722 8.18722 
75 30.1994 29.0993 8.23008 8.23008 
75.1 30.1383 29.0431 8.27294 8.27294 
75.2 30.0775 28.987 8.3158 8.3158 
75.3 30.0167 28.9308 8.35866 8.35866 
75.4 29.956 28.8747 8.40152 8.40152 
75.5 29.8953 28.8186 8.44438 8.44438 
75.6 29.8347 28.7624 8.48724 8.48724 
75.7 29.7741 28.7063 8.5301 8.5301 
75.8 29.7136 28.6501 8.57296 8.57296 
75.9 29.653 28.594 8.61582 8.61582 
76 29.5926 28.5378 8.65868 8.65868 
76.1 29.5323 28.4817 8.70154 8.70154 
76.2 29.472 28.4255 8.7444 8.7444 
76.3 29.4118 28.3694 8.78726 8.78726 
76.4 29.3516 28.3133 8.83012 8.83012 
76.5 29.2916 28.2571 8.87298 8.87298 
76.6 29.2316 28.201 8.91584 8.91584 
76.7 29.1716 28.1448 8.9587 8.9587 
76.8 29.1117 28.0887 9.00156 9.00156 
76.9 29.0518 28.0325 9.04442 9.04442 
77 28.9919 27.9764 9.08728 9.08728 
77.1 28.9321 27.9202 9.13014 9.13014 
77.2 28.8724 27.8641 9.173 9.173 
77.3 28.8127 27.8079 9.21586 9.21586 
77.4 28.753 27.7518 9.25872 9.25872 
77.5 28.6934 27.6957 9.30158 9.30158 
77.6 28.6337 27.6395 9.34444 9.34444 
77.7 28.5741 27.5834 9.3873 9.3873 
77.8 28.5145 27.5272 9.43016 9.43016 
77.9 28.455 27.4711 9.47302 9.47301 
78 28.3956 27.4149 9.51588 9.51587 
78.1 28.3361 27.3588 9.55874 9.55873 
78.2 28.2768 27.3026 9.6016 9.60159 
78.3 28.2174 27.2465 9.64446 9.64445 
78.4 28.1581 27.1903 9.68732 9.68731 
78.5 28.0988 27.1342 9.73018 9.73017 
78.6 28.0396 27.0781 9.77304 9.77303 
78.7 27.9804 27.0219 9.8159 9.81589 
78.8 27.9213 26.9658 9.85876 9.85875 
78.9 27.8621 26.9096 9.90162 9.90161 
79 27.803 26.8535 9.94448 9.94447 
79.1 27.7439 26.7973 9.98734 9.98733 
79.2 27.6849 26.7412 10.0302 10.0302 
79.3 27.6259 26.685 10.0731 10.0731 
79.4 27.5669 26.6289 10.1159 10.1159 
79.5 27.5079 26.5728 10.1588 10.1588 
79.6 27.449 26.5166 10.2016 10.2016 
79.7 27.3901 26.4605 10.2445 10.2445 
79.8 27.3313 26.4043 10.2874 10.2874 
79.9 27.2725 26.3482 10.3302 10.3302 
80 27.2137 26.292 10.3731 10.3731 
80.1 27.1549 26.2359 10.4159 10.4159 
80.2 27.0961 26.1797 10.4588 10.4588 
80.3 27.0374 26.1236 10.5017 10.5017 
80.4 26.9787 26.0674 10.5445 10.5445 
80.5 26.9201 26.0113 10.5874 10.5874 
80.6 26.8614 25.9552 10.6302 10.6302 
80.7 26.8028 25.899 10.6731 10.6731 
80.8 26.7442 25.8429 10.716 10.716 
80.9 26.6856 25.7867 10.7588 10.7588 
81 26.627 25.7306 10.8017 10.8017 
81.1 26.5685 25.6744 10.8445 10.8445 
81.2 26.51 25.6183 10.8874 10.8874 
81.3 26.4515 25.5621 10.9303 10.9302 
81.4 26.3931 25.506 10.9731 10.9731 
81.5 26.3346 25.4499 11.016 11.016 
81.6 26.2761 25.3937 11.0588 11.0588 
81.7 26.2177 25.3376 11.1017 11.1017 
81.8 26.1593 25.2814 11.1446 11.1445 
81.9 26.1018 25.2274 11.1895 11.1895 
82 26.0476 25.1791 11.2403 11.2403 
82.1 25.9942 25.1308 11.291 11.291 
82.2 25.9415 25.0826 11.3417 11.3417 
82.3 25.8888 25.0343 11.3924 11.3924 
82.4 25.8364 24.986 11.4432 11.4432 
82.5 25.7842 24.9377 11.4939 11.4939 
82.6 25.7321 24.8894 11.5446 11.5446 
82.7 25.6801 24.8412 11.5953 11.5953 
82.8 25.628 24.7929 11.6461 11.6461 
82.9 25.576 24.7446 11.6968 11.6968 
83 25.5241 24.6963 11.7475 11.7475 
83.1 25.4723 24.648 11.7982 11.7982 
83.2 25.4206 24.5998 11.849 11.849 
83.3 25.369 24.5515 11.8997 11.8997 
83.4 25.3173 24.5032 11.9504 11.9504 
83.5 25.2658 24.4549 12.0012 12.0012 
83.6 25.2142 24.4067 12.0519 12.0519 
83.7 25.1627 24.3584 12.1026 12.1026 
83.8 25.1112 24.3101 12.1533 12.1533 
83.9 25.0597 24.2618 12.2041 12.2041 
84 25.0083 24.2135 12.2548 12.2548 
84.1 24.957 24.1653 12.3055 12.3055 
84.2 24.9057 24.117 12.3562 12.3562 
84.3 24.8544 24.0687 12.407 12.407 
84.4 24.8032 24.0204 12.4577 12.4577 
84.5 24.7521 23.9721 12.5084 12.5084 
84.6 24.701 23.9239 12.5591 12.5591 
84.7 24.65 23.8756 12.6099 12.6099 
84.8 24.599 23.8273 12.6606 12.6606 
84.9 24.548 23.779 12.7113 12.7113 
85 24.497 23.7308 12.7621 12.762 
85.1 24.4461 23.6825 12.8128 12.8128 
85.2 24.3952 23.6342 12.8635 12.8635 
85.3 24.3443 23.5859 12.9142 12.9142 
85.4 24.2935 23.5376 12.965 12.965 
85.5 24.2427 23.4894 13.0157 13.0157 
85.6 24.1919 23.4411 13.0664 13.0664 
85.7 24.1411 23.3928 13.1171 13.1171 
85.8 24.0903 23.3445 13.1679 13.1679 
85.9 24.0396 23.2962 13.2186 13.2186 
86 23.9889 23.248 13.2693 13.2693 
86.1 23.9382 23.1997 13.32 13.32 
86.2 23.8876 23.1514 13.3708 13.3708 
86.3 23.8369 23.1031 13.4215 13.4215 
86.4 23.7864 23.0549 13.4722 13.4722 
86.5 23.7358 23.0066 13.5229 13.5229 
86.6 23.6853 22.9583 13.5737 13.5737 
86.7 23.6348 22.91 13.6244 13.6244 
86.8 23.5843 22.8617 13.6751 13.6751 
86.9 23.5339 22.8135 13.7259 13.7259 
87 23.4835 22.7652 13.7766 13.7766 
87.1 23.4331 22.7169 13.8273 13.8273 
87.2 23.3828 22.6686 13.878 13.878 
87.3 23.3324 22.6203 13.9288 13.9288 
87.4 23.282 22.5721 13.9795 13.9795 
87.5 23.2317 22.5238 14.0302 14.0302 
87.6 23.1815 22.4755 14.0809 14.0809 
87.7 23.1312 22.4272 14.1317 14.1317 
87.8 23.0809 22.379 14.1824 14.1824 
87.9 23.0307 22.3307 14.2331 14.2331 
88 22.9804 22.2824 14.2838 14.2838 
88.1 22.9303 22.2341 14.3346 14.3346 
88.2 22.8802 22.1858 14.3853 14.3853 
88.3 22.83 22.1376 14.436 14.436 
88.4 22.7799 22.0893 14.4868 14.4867 
88.5 22.7298 22.041 14.5375 14.5375 
88.6 22.6797 21.9927 14.5882 14.5882 
88.7 22.6296 21.9444 14.6389 14.6389 
88.8 22.5796 21.8962 14.6897 14.6897 
88.9 22.5295 21.8479 14.7404 14.7404 
89 22.4795 21.7996 14.7911 14.7911 
89.1 22.4295 21.7513 14.8418 14.8418 
89.2 22.3795 21.7031 14.8926 14.8926 
89.3 22.3295 21.6548 14.9433 14.9433 
89.4 22.2795 21.6065 14.994 14.994 
89.5 22.2296 21.5582 15.0447 15.0447 
89.6 22.1797 21.5099 15.0955 15.0955 
89.7 22.1298 21.4617 15.1462 15.1462 
89.8 22.0799 21.4134 15.1969 15.1969 
89.9 22.03 21.3651 15.2477 15.2476 
90 21.9801 21.3168 15.2984 15.2984 
90.1 21.9302 21.2685 15.3491 15.3491 
90.2 21.8803 21.2203 15.3998 15.3998 
90.3 21.8304 21.172 15.4506 15.4505 
90.4 21.7806 21.1237 15.5013 15.5013 
90.5 21.7313 21.0767 15.5533 15.5533 
90.6 21.6856 21.0362 15.6118 15.6118 
90.7 21.6409 20.9958 15.6704 15.6704 
90.8 21.5969 20.9553 15.7289 15.7289 
90.9 21.5531 20.9149 15.7874 15.7874 
91 21.5093 20.8744 15.846 15.846 
91.1 21.4658 20.8339 15.9045 15.9045 
91.2 21.4225 20.7935 15.9631 15.9631 
91.3 21.3792 20.753 16.0216 16.0216 
91.4 21.3359 20.7125 16.0802 16.0801 
91.5 21.2927 20.6721 16.1387 16.1387 
91.6 21.2494 20.6316 16.1972 16.1972 
91.7 21.2063 20.5911 16.2558 16.2558 
91.8 21.1633 20.5507 16.3143 16.3143 
91.9 21.1203 20.5102 16.3729 16.3729 
92 21.0774 20.4698 16.4314 16.4314 
92.1 21.0345 20.4293 16.4899 16.4899 
92.2 20.9917 20.3888 16.5485 16.5485 
92.3 20.9489 20.3484 16.607 16.607 
92.4 20.906 20.3079 16.6656 16.6656 
92.5 20.8632 20.2674 16.7241 16.7241 
92.6 20.8204 20.227 16.7827 16.7826 
92.7 20.7777 20.1865 16.8412 16.8412 
92.8 20.7349 20.146 16.8997 16.8997 
92.9 20.6923 20.1056 16.9583 16.9583 
93 20.6496 20.0651 17.0168 17.0168 
93.1 20.607 20.0247 17.0754 17.0754 
93.2 20.5645 19.9842 17.1339 17.1339 
93.3 20.522 19.9437 17.1924 17.1924 
93.4 20.4795 19.9033 17.251 17.251 
93.5 20.4371 19.8628 17.3095 17.3095 
93.6 20.3947 19.8223 17.3681 17.3681 
93.7 20.3523 19.7819 17.4266 17.4266 
93.8 20.3099 19.7414 17.4852 17.4851 
93.9 20.2676 19.7009 17.5437 17.5437 
94 20.2252 19.6605 17.6022 17.6022 
94.1 20.1829 19.62 17.6608 17.6608 
94.2 20.1406 19.5796 17.7193 17.7193 
94.3 20.0984 19.5391 17.7779 17.7779 
94.4 20.0561 19.4986 17.8364 17.8364 
94.5 20.0139 19.4582 17.8949 17.8949 
94.6 19.9717 19.4177 17.9535 17.9535 
94.7 19.9295 19.3772 18.012 18.012 
94.8 19.8872 19.3368 18.0706 18.0706 
94.9 19.845 19.2963 18.1291 18.1291 
95 19.8028 19.2558 18.1877 18.1876 
95.1 19.7607 19.2154 18.2462 18.2462 
95.2 19.7186 19.1749 18.3047 18.3047 
95.3 19.6765 19.1345 18.3633 18.3633 
95.4 19.6344 19.094 18.4218 18.4218 
95.5 19.5924 19.0535 18.4804 18.4803 
95.6 19.5503 19.0131 18.5389 18.5389 
95.7 19.5083 18.9726 18.5974 18.5974 
95.8 19.4663 18.9321 18.656 18.656 
95.9 19.4243 18.8917 18.7145 18.7145 
96 19.3824 18.8512 18.7731 18.7731 
96.1 19.3404 18.8108 18.8316 18.8316 
96.2 19.2985 18.7703 18.8902 18.8901 
96.3 19.2566 18.7298 18.9487 18.9487 
96.4 19.2147 18.6894 19.0072 19.0072 
96.5 19.1728 18.6489 19.0658 19.0658 
96.6 19.131 18.6084 19.1243 19.1243 
96.7 19.0891 18.568 19.1829 19.1828 
96.8 19.0473 18.5275 19.2414 19.2414 
96.9 19.0055 18.487 19.2999 19.2999 
97 18.9636 18.4466 19.3585 19.3585 
97.1 18.9218 18.4061 19.417 19.417 
97.2 18.88 18.3657 19.4756 19.4756 
97.3 18.8382 18.3252 19.5341 19.5341 
97.4 18.7965 18.2847 19.5927 19.5926 
97.5 18.7548 18.2443 19.6512 19.6512 
97.6 18.7131 18.2038 19.7097 19.7097 
97.7 18.6714 18.1633 19.7683 19.7683 
97.8 18.6297 18.1229 19.8268 19.8268 
97.9 18.588 18.0824 19.8854 19.8853 
98 18.5463 18.0419 19.9439 19.9439 
98.1 18.5046 18.0015 20.0024 20.0024 
98.2 18.463 17.961 20.061 20.061 
98.3 18.4213 17.9206 20.1195 20.1195 
98.4 18.3797 17.8801 20.1781 20.1781 
98.5 18.338 17.8396 20.2366 20.2366 
98.6 18.2964 17.7992 20.2952 20.2951 
98.7 18.2548 17.7587 20.3537 20.3537 
98.8 18.2132 17.7182 20.4122 20.4122 
98.9 18.1716 17.6778 20.4708 20.4708 
99 18.13 17.6373 20.5293 20.5293 
99.1 18.0884 17.5968 20.5879 20.5878 
99.2 18.0469 17.5564 20.6464 20.6464 
99.3 18.0053 17.5159 20.7049 20.7049 
99.4 17.9638 17.4755 20.7635 20.7635 
99.5 17.9222 17.435 20.822 20.822 
99.6 17.8807 17.3945 20.8806 20.8805 
99.7 17.8391 17.3541 20.9391 20.9391 
99.8 17.7976 17.3136 20.9977 20.9976 
99.9 17.7561 17.2731 21.0562 21.0562 
100 17.7145 17.2327 21.1147 21.1147 
100.1 17.6768 17.1997 21.1807 21.1807 
100.2 17.6403 17.1667 21.2467 21.2467 
100.3 17.6043 17.1337 21.3127 21.3127 
100.4 17.5687 17.1007 21.3788 21.3787 
100.5 17.5332 17.0677 21.4448 21.4447 
100.6 17.4977 17.0347 21.5108 21.5107 
100.7 17.4626 17.0017 21.5768 21.5767 
100.8 17.4275 16.9687 21.6428 21.6427 
100.9 17.3925 16.9357 21.7088 21.7087 
101 17.3574 16.9027 21.7748 21.7748 
101.1 17.3224 16.8697 21.8408 21.8408 
101.2 17.2874 16.8367 21.9068 21.9068 
101.3 17.2524 16.8037 21.9728 21.9728 
101.4 17.2175 16.7707 22.0388 22.0388 
101.5 17.1827 16.7377 22.1048 22.1048 
101.6 17.148 16.7047 22.1708 22.1708 
101.7 17.1133 16.6717 22.2368 22.2368 
101.8 17.0786 16.6387 22.3028 22.3028 
101.9 17.0439 16.6056 22.3688 22.3688 
102 17.0092 16.5726 22.4348 22.4348 
102.1 16.9746 16.5396 22.5008 22.5008 
102.2 16.9399 16.5066 22.5668 22.5668 
102.3 16.9052 16.4736 22.6328 22.6328 
102.4 16.8706 16.4406 22.6988 22.6988 
102.5 16.836 16.4076 22.7648 22.7648 
102.6 16.8014 16.3746 22.8308 22.8308 
102.7 16.7669 16.3416 22.8968 22.8968 
102.8 16.7323 16.3086 22.9628 22.9628 
102.9 16.6979 16.2756 23.0288 23.0288 
103 16.6634 16.2426 23.0949 23.0948 
103.1 16.629 16.2096 23.1609 23.1608 
103.2 16.5946 16.1766 23.2269 23.2268 
103.3 16.5603 16.1436 23.2929 23.2928 
103.4 16.526 16.1106 23.3589 23.3588 
103.5 16.4916 16.0776 23.4249 23.4248 
103.6 16.4573 16.0446 23.4909 23.4908 
103.7 16.423 16.0116 23.5569 23.5569 
103.8 16.3887 15.9786 23.6229 23.6229 
103.9 16.3544 15.9456 23.6889 23.6889 
104 16.3202 15.9126 23.7549 23.7549 
104.1 16.2859 15.8796 23.8209 23.8209 
104.2 16.2517 15.8466 23.8869 23.8869 
104.3 16.2175 15.8136 23.9529 23.9529 
104.4 16.1833 15.7806 24.0189 24.0189 
104.5 16.1491 15.7476 24.0849 24.0849 
104.6 16.1149 15.7146 24.1509 24.1509 
104.7 16.0807 15.6816 24.2169 24.2169 
104.8 16.0465 15.6486 24.2829 24.2829 
104.9 16.0123 15.6156 24.3489 24.3489 
105 15.9781 15.5826 24.4149 24.4149 
105.1 15.9439 15.5496 24.4809 24.4809 
105.2 15.9098 15.5166 24.5469 24.5469 
105.3 15.8757 15.4836 24.6129 24.6129 
105.4 15.8416 15.4506 24.6789 24.6789 
105.5 15.8075 15.4176 24.745 24.7449 
105.6 15.7734 15.3846 24.811 24.8109 
105.7 15.7394 15.3516 24.877 24.8769 
105.8 15.7053 15.3186 24.943 24.9429 
105.9 15.6713 15.2856 25.009 25.0089 
106 15.6373 15.2526 25.075 25.0749 
106.1 15.6033 15.2196 25.141 25.1409 
106.2 15.5693 15.1866 25.207 25.2069 
106.3 15.5353 15.1536 25.273 25.2729 
106.4 15.5014 15.1206 25.339 25.339 
106.5 15.4674 15.0876 25.405 25.405 
106.6 15.4334 15.0546 25.471 25.471 
106.7 15.3995 15.0216 25.537 25.537 
106.8 15.3655 14.9886 25.603 25.603 
106.9 15.3316 14.9556 25.669 25.669 
107 15.2977 14.9226 25.735 25.735 
107.1 15.2638 14.8896 25.801 25.801 
107.2 15.2299 14.8566 25.867 25.867 
107.3 15.196 14.8236 25.933 25.933 
107.4 15.1621 14.7906 25.999 25.999 
107.5 15.1282 14.7576 26.065 26.065 
107.6 15.0944 14.7246 26.131 26.131 
107.7 15.0605 14.6916 26.197 26.197 
107.8 15.0267 14.6586 26.263 26.263 
107.9 14.9929 14.6256 26.329 26.329 
108 14.959 14.5926 26.395 26.395 
108.1 14.9252 14.5596 26.4611 26.461 
108.2 14.8914 14.5266 26.5271 26.527 
108.3 14.8576 14.4936 26.5931 26.593 
108.4 14.8238 14.4606 26.6591 26.659 
108.5 14.79 14.4276 26.7251 26.725 
108.6 14.7562 14.3946 26.7911 26.791 
108.7 14.7224 14.3616 26.8571 26.857 
108.8 14.6887 14.3286 26.9231 26.923 
108.9 14.6549 14.2956 26.9891 26.989 
109 14.6211 14.2626 27.0551 27.055 
109.1 14.5874 14.2296 27.1211 27.121 
109.2 14.5536 14.1966 27.1871 27.1871 
109.3 14.5199 14.1636 27.2531 27.2531 
109.4 14.4861 14.1306 27.3191 27.3191 
109.5 14.4524 14.0976 27.3851 27.3851 
109.6 14.4187 14.0645 27.4511 27.4511 
109.7 14.3849 14.0315 27.5171 27.5171 
109.8 14.3512 13.9985 27.5831 27.5831 
109.9 14.3175 13.9655 27.6491 27.6491 
110 14.2838 13.9325 27.7151 27.7151 
110.1 14.2501 13.8995 27.7811 27.7811 
110.2 14.2163 13.8665 27.8471 27.8471 
110.3 14.1826 13.8335 27.9131 27.9131 
